x,y,z,t
4574415.698529457,3154686.780893161,3120525.0969443694,0.0
4574400.429155089,3154700.7264094227,3120533.326777995,0.1
4574385.159729597,3154714.671849439,3120541.5566048007,0.2
4574369.890252984,3154728.61721321,3120549.7864247854,0.30000000000000004
4574354.620725249,3154742.5625007343,3120558.016237949,0.4
4574339.351146391,3154756.507712013,3120566.2460442926,0.5
4574324.08151641,3154770.452847044,3120574.4758438147,0.6000000000000001
4574308.8118353095,3154784.3979058294,3120582.7056365157,0.7000000000000001
4574293.5421030875,3154798.3428883674,3120590.935422397,0.8
4574278.272319746,3154812.287794659,3120599.165201457,0.9
4574263.002485284,3154826.232624702,3120607.3949736957,1.0
4574247.732599702,3154840.177378498,3120615.6247391137,1.1
4574232.462663001,3154854.1220560465,3120623.854497711,1.2000000000000002
4574217.192675181,3154868.0666573467,3120632.0842494876,1.3
4574201.922636242,3154882.0111823985,3120640.313994443,1.4000000000000001
4574186.652546185,3154895.9556312016,3120648.5437325775,1.5
4574171.382405011,3154909.900003757,3120656.7734638904,1.6
4574156.112212718,3154923.8443000624,3120665.003188383,1.7000000000000002
4574140.84196931,3154937.7885201196,3120673.2329060542,1.8
4574125.571674785,3154951.7326639267,3120681.462616905,1.9000000000000001
4574110.301329143,3154965.6767314845,3120689.6923209345,2.0
4574095.030932386,3154979.6207227935,3120697.9220181424,2.1
4574079.760484513,3154993.5646378514,3120706.1517085293,2.2
4574064.489985526,3155007.508476659,3120714.3813920957,2.3000000000000003
4574049.219435425,3155021.4522392172,3120722.6110688406,2.4000000000000004
4574033.948834207,3155035.395925524,3120730.840738765,2.5
4574018.678181876,3155049.3395355796,3120739.070401868,2.6
4574003.407478432,3155063.2830693847,3120747.300058149,2.7
4573988.136723875,3155077.2265269384,3120755.5297076097,2.8000000000000003
4573972.865918205,3155091.1699082404,3120763.7593502486,2.9000000000000004
4573957.595061423,3155105.1132132914,3120771.988986067,3.0
4573942.3241535295,3155119.0564420894,3120780.2186150635,3.1
4573927.053194524,3155132.9995946363,3120788.4482372394,3.2
4573911.782184405,3155146.9426709297,3120796.6778525924,3.3000000000000003
4573896.5111231785,3155160.8856709716,3120804.9074611263,3.4000000000000004
4573881.24001084,3155174.8285947596,3120813.137062838,3.5
4573865.968847393,3155188.771442295,3120821.3666577274,3.6
4573850.697632834,3155202.7142135776,3120829.5962457964,3.7
4573835.426367167,3155216.656908606,3120837.825827044,3.8000000000000003
4573820.155050392,3155230.5995273814,3120846.0554014705,3.9000000000000004
4573804.883682507,3155244.542069902,3120854.284969075,4.0
4573789.6122635165,3155258.48453617,3120862.5145298583,4.1000000000000005
4573774.340793414,3155272.426926181,3120870.7440838194,4.2
4573759.069272207,3155286.36923994,3120878.9736309606,4.3
4573743.797699893,3155300.311477443,3120887.2031712793,4.4
4573728.526076472,3155314.2536386917,3120895.4327047765,4.5
4573713.254401945,3155328.195723685,3120903.6622314528,4.6000000000000005
4573697.982676311,3155342.137732422,3120911.8917513066,4.7
4573682.710899574,3155356.079664904,3120920.12126434,4.800000000000001
4573667.43907173,3155370.02152113,3120928.350770551,4.9
4573652.167192782,3155383.9633011003,3120936.58026994,5.0
4573636.895262729,3155397.9050048133,3120944.809762508,5.1000000000000005
4573621.623281573,3155411.8466322706,3120953.039248255,5.2
4573606.351249315,3155425.788183471,3120961.2687271796,5.300000000000001
4573591.079165952,3155439.729658414,3120969.4981992827,5.4
4573575.807031487,3155453.6710571004,3120977.7276645643,5.5
4573560.534845918,3155467.6123795295,3120985.9571230235,5.6000000000000005
4573545.26260925,3155481.553625701,3120994.1865746616,5.7
4573529.990321479,3155495.4947956135,3121002.4160194774,5.800000000000001
